,Report Number,Occur Date,Occur Time,Neighborhood
13956,192121555,2019-07-31,1617,Vine City
13957,192121570,2019-07-31,1413,Adamsville
13958,192121958,2019-07-31,1813,Vine City
13959,192122161,2019-07-31,1924,Lenox
13960,192122317,2019-07-31,2030,Poncey-Highland
13961,192122409,2019-07-31,1725,Wildwood (NPU-C)
13962,192121127,2019-07-31,1320,Mozley Park
13963,192122491,2019-07-31,2230,Grove Park
13964,192121041,2019-07-31,1240,Southwest
13965,192121830,2019-07-31,1725,Atlantic Station
13969,192120914,2019-07-30,2230,Sylvan Hills
13970,192121384,2019-07-29,1700,Westhaven
13971,192121689,2019-07-31,1550,Brookwood Hills
13972,192121773,2019-07-30,2200,Lindbergh/Morosgo
13974,192121874,2019-07-30,1000,Campbellton Road
13975,192121898,2016-08-05,2259,Downtown
13976,192122290,2019-07-31,1930,Downtown
13979,192120804,2019-07-30,2000,Mozley Park
13980,192120917,2019-07-31,1145,Pittsburgh
13981,192121231,2019-07-31,1245,North Buckhead
13982,192121917,2019-07-31,1000,Downtown
13983,192122031,2019-07-31,1530,Downtown
13984,192122483,2019-07-31,1950,Lenox
13985,192120013,2019-07-30,2340,Southwest
13986,192120115,2019-07-30,1500,Buckhead Village
13987,192120383,2019-07-30,1730,Virginia Highland
13988,192120579,2019-07-30,2300,Lindbergh/Morosgo
13990,192122428,2019-07-31,2140,Downtown
13991,192122493,2019-07-31,2233,Grove Park
13992,192122533,2019-07-31,2230,West End
13993,192122567,2019-07-31,2220,Grant Park
13995,192120412,2019-07-30,2200,The Villages at Carver
13996,192120477,2019-07-30,2200,English Avenue
13997,192120515,2019-07-30,1000,Blandtown
13998,192120623,2019-07-30,1030,Downtown
13999,192120910,2019-07-30,1200,Candler Park
14001,192121074,2019-07-30,2300,Lindridge/Martin Manor
14002,192121176,2019-07-31,1300,East Lake
14003,192121191,2019-07-31,1100,Edgewood
14004,192121206,2019-07-31,1330,Blandtown
14005,192121262,2019-07-31,1400,Ormewood Park
14006,192121275,2019-07-31,1400,Underwood Hills
14007,192121508,2019-07-31,1400,Sweet Auburn
14008,192121764,2019-07-31,1700,Old Fourth Ward
14009,192121782,2019-07-31,1700,Inman Park
14010,192121886,2019-07-31,1730,Blandtown
14012,192121922,2019-07-31,1750,Underwood Hills
14014,192121974,2019-07-31,1700,Poncey-Highland
14015,192122071,2019-07-31,1730,Home Park
14016,192122241,2019-07-31,1908,Lindbergh/Morosgo
14017,192122314,2019-07-31,1930,Midtown
14018,192122430,2019-07-31,2020,Blandtown
14019,192122459,2019-07-31,2045,Downtown
14020,192122462,2019-07-31,1900,South Tuxedo Park
14021,192122486,2019-07-31,2215,Greenbriar
14022,192122522,2019-07-31,2230,other
14023,192122536,2019-07-31,2230,other
14024,192122586,2019-07-31,2300,Garden Hills
14025,192122587,2019-07-31,2040,other
14026,192122591,2019-07-31,2130,Midtown
14027,192120636,2019-07-26,1800,Sweet Auburn
14030,192130447,2019-07-31,1700,Lakewood Heights
14032,192131216,2019-08-01,1255,Collier Heights
14033,192130245,2019-07-31,2345,Sweet Auburn
14035,192130642,2019-07-31,1600,Midtown
14036,192130845,2019-07-30,1200,East Lake
14037,192130947,2019-08-01,1040,other
14038,192131376,2019-08-01,1400,Buckhead Forest
14039,192131434,2019-08-01,1330,Lake Claire
14040,192131444,2019-07-26,2345,Morningside/Lenox Park
14041,192131458,2019-07-20,1900,other
14042,192131516,2019-08-01,1425,Ardmore
14043,192131531,2019-08-01,1000,Downtown
14044,192131695,2019-08-01,1538,Wildwood (NPU-C)
14045,192131836,2019-07-31,1630,Pine Hills
14046,192131976,2019-08-01,1530,Bolton
14047,192132060,2019-07-31,2100,Sweet Auburn
14048,192132446,2019-08-01,1845,Old Fourth Ward
14049,192132474,2019-08-01,2112,Downtown
14050,192132633,2019-08-01,2212,Midtown
14051,192132663,2019-08-01,2135,Old Fourth Ward
14052,192132678,2019-08-01,2024,Castleberry Hill
14053,192122496,2019-07-31,1918,Marietta Street Artery
14054,192122570,2019-07-31,2330,Capitol Gateway
14055,192130953,2019-08-01,1107,West End
14056,192131766,2019-08-01,1625,Bolton
14057,192132578,2019-08-01,2235,Loring Heights
14058,192131254,2019-08-01,1100,Virginia Highland
14059,192131628,2019-08-01,1445,North Buckhead
14061,192131278,2019-07-26,1600,Oakland City
14063,192132212,2019-08-01,1921,Channing Valley
14064,192132638,2019-08-01,2300,Reynoldstown
14065,192131760,2019-08-01,1605,other
14067,192132099,2019-06-29,2200,Lakewood Heights
14068,192131607,2019-08-01,1215,Adair Park
14069,192131858,2019-08-01,1712,Greenbriar
14070,192130918,2019-08-01,1050,Midtown
14071,192131038,2019-08-01,1205,Downtown
14074,192131767,2019-08-01,1646,Lakewood
14075,192131237,2019-08-01,1130,Virginia Highland
14076,192131619,2019-08-01,1300,Ashley Courts
14077,192130108,2019-07-31,1500,Kirkwood
14078,192130577,2019-07-31,1700,Oakland City
14079,192131684,2019-08-01,1230,Edgewood
14080,192131844,2019-08-01,1500,Oakland
14084,192122295,2018-12-30,1200,Lindridge/Martin Manor
14085,192130452,2019-07-31,1700,Cascade Avenue/Road
14090,192140947,2019-08-02,1200,Ashview Heights
14092,192142221,2019-08-02,2213,Center Hill
14093,192140916,2019-08-02,1142,Grove Park
14094,192140755,2019-08-01,1430,Fairburn Mays
14095,192141264,2019-08-02,1200,The Villages at East Lake
14096,192141852,2019-08-02,1700,Hammond Park
14097,192142126,2019-08-02,2100,South River Gardens
14099,192141170,2019-08-02,1040,Greenbriar
14100,192141275,2019-08-02,1450,Campbellton Road
14101,192141403,2019-08-02,1500,Downtown
14102,192142083,2019-08-02,2030,West End
14103,192142225,2019-08-02,2200,Perkerson
14104,192142437,2019-08-02,2345,Grant Park
14105,192142345,2019-08-02,2200,Harland Terrace
14106,192141358,2019-08-02,1200,Kirkwood
14107,192141343,2019-08-01,2307,Old Fourth Ward
14108,192141569,2019-08-02,1706,Downtown
14111,192140862,2019-08-01,1700,Downtown
14113,192141412,2019-08-02,1600,Lindbergh/Morosgo
14114,192141680,2019-07-30,1530,Benteen Park
14115,192141994,2019-08-01,1400,Home Park
14116,192142315,2019-08-02,2308,The Villages at Carver
14117,192142079,2019-07-26,1800,Old Fourth Ward
14118,192140363,2019-08-01,1900,Reynoldstown
14119,192140389,2019-08-01,2300,Downtown
14120,192140416,2019-08-01,1930,Center Hill
14122,192140799,2019-08-01,1700,Grant Park
14123,192141401,2019-08-02,1600,Venetian Hills
14125,192141921,2019-07-31,1400,Marietta Street Artery
14126,192142059,2019-08-02,2040,Lindbergh/Morosgo
14127,192142165,2019-08-02,2130,West End
14128,192142351,2019-08-02,2322,Home Park
14129,192140085,2019-08-01,2100,Downtown
14130,192140384,2019-08-01,1830,Sweet Auburn
14131,192140483,2019-08-01,1700,Underwood Hills
14133,192140512,2019-08-01,2000,Grant Park
14136,192140698,2019-08-01,1505,Wyngate
14137,192140706,2019-08-01,2200,Capitol View
14138,192140718,2019-08-01,2200,Adair Park
14139,192140808,2019-08-02,1000,Morningside/Lenox Park
14140,192140926,2019-08-02,1145,Southwest
14141,192141435,2019-08-01,2215,Old Fourth Ward
14142,192141488,2019-08-02,1630,Marietta Street Artery
14143,192141670,2019-08-02,1756,Harland Terrace
14144,192141689,2019-08-02,1800,Grant Park
14145,192141814,2019-08-02,1530,Home Park
14146,192141867,2019-08-02,1840,Midtown
14147,192141905,2019-08-02,1500,Hills Park
14149,192142092,2019-08-02,2040,Lenox
14150,192142147,2019-08-02,1927,Atlantic Station
14151,192142149,2019-08-02,1930,Old Fourth Ward
14152,192142263,2019-08-02,2225,Channing Valley
14153,192142356,2019-08-02,2100,Downtown
14154,192140684,2019-07-31,1530,Sweet Auburn
14156,192151667,2019-08-03,1030,Midtown
14157,192150981,2019-08-03,1015,North Buckhead
14159,192150118,2019-08-02,2200,Virginia Highland
14160,192150129,2019-08-02,2230,Sweet Auburn
14161,192150154,2019-08-02,2245,North Buckhead
14163,192150320,2019-08-02,2350,Cabbagetown
14164,192150336,2019-08-02,2300,Underwood Hills
14165,192150363,2019-08-02,2320,West Highlands
14166,192150396,2019-08-02,2300,Lindridge/Martin Manor
14171,192150778,2019-08-02,1700,Downtown
14172,192150887,2019-08-02,2015,Grove Park
14174,192151191,2019-08-03,1215,Downtown
14176,192151248,2019-08-02,2300,other
14177,192151378,2019-08-03,1514,Downtown
14178,192151394,2019-08-03,1300,Pittsburgh
14179,192151523,2019-08-03,1300,Ormewood Park
14180,192151597,2019-08-03,1415,Poncey-Highland
14181,192151615,2019-08-03,1435,Inman Park
14182,192151685,2019-08-03,1705,Lindbergh/Morosgo
14183,192151776,2019-08-03,1700,North Buckhead
14184,192151849,2019-08-03,1630,Home Park
14185,192151920,2019-08-03,1730,Home Park
14186,192151975,2019-08-03,1300,Downtown
14187,192152026,2019-08-03,1212,Downtown
14188,192152072,2019-08-03,1900,Ardmore
14189,192152086,2019-08-03,1600,other
14190,192152482,2019-08-03,2100,Mechanicsville
14191,192141041,2019-08-02,1215,Adamsville
14193,192150123,2019-08-02,2342,Peachtree Heights West
14194,192150718,2019-08-02,2200,Mechanicsville
14196,192151059,2019-08-02,1145,Mays
14197,192151285,2019-08-03,1400,Bolton
14198,192151325,2019-08-02,2030,East Atlanta
14199,192151543,2019-08-03,1600,Hills Park
14201,192152385,2019-08-03,1535,Midtown
14202,192152412,2019-08-03,2243,South River Gardens
14203,192152555,2019-08-03,2322,Downtown
14205,192152062,2019-08-03,1800,Downtown
14207,192151217,2019-07-06,1500,Lindbergh/Morosgo
14208,192151422,2019-08-03,1500,North Buckhead
14209,192151493,2019-08-03,1555,Midtown
14210,192150123,2019-08-02,2342,Peachtree Heights West
14211,192151091,2019-08-03,1200,Midtown
14212,192151564,2019-08-02,2000,Center Hill
14213,192152173,2019-08-03,2000,East Atlanta
14214,192151152,2019-08-03,1237,Campbellton Road
14215,192151165,2019-08-02,2200,Perkerson
14216,192151274,2019-08-03,1400,Lenox
14217,192151397,2019-08-03,1525,Cascade Avenue/Road
14218,192151585,2019-08-03,1643,Lenox
14219,192151693,2019-08-03,1728,Edgewood
14220,192151780,2019-08-03,1805,Atlanta University Center
14221,192151802,2019-08-03,1800,Adamsville
14222,192151847,2019-08-03,1830,South River Gardens
14223,192132126,2019-08-01,1840,Downtown
14226,192152242,2019-08-03,1600,Campbellton Road
14227,192151204,2019-07-15,1000,Carroll Heights
14228,192151448,2019-08-03,1359,Fairburn Mays
14229,192152198,2019-08-03,1930,Fairburn Mays
14231,192151079,2019-08-01,1600,North Buckhead
14232,192151952,2019-08-03,1300,Downtown
14235,192160624,2019-08-02,1900,Oakland City
14236,192161581,2019-08-02,1300,North Buckhead
14240,192161103,2019-08-04,1347,Hills Park
14247,192161358,2019-08-04,1619,Southwest
14248,192161492,2019-08-04,1715,Sylvan Hills
14249,192161367,2019-08-04,1315,Lenox
14250,192161397,2019-08-04,1636,Harland Terrace
14251,192161413,2019-08-04,1640,Cascade Avenue/Road
